getAllFieldsForSObject.cls

================================

//for the Account object, you can replact that with any object you have, standard or custom
Schema.DescribeSObjectResult a_desc = Account.sObjectType.getDescribe(); 
Map<String, Schema.SObjectField> a_fields = a_desc.fields.getMap();

for(Schema.sObjectField fld:a_fields.values()){ 
     System.debug(fld);
}


================================

31.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,INFO;DB,INFO;VALIDATION,INFO;WORKFLOW,INFO
Execute Anonymous: //for the Account object, you can replact that with any object you have, standard or custom
Execute Anonymous: Schema.DescribeSObjectResult a_desc = Account.sObjectType.getDescribe(); 
Execute Anonymous: Map<String, Schema.SObjectField> a_fields = a_desc.fields.getMap();
Execute Anonymous: 
Execute Anonymous: for(Schema.sObjectField fld:a_fields.values()){ 
Execute Anonymous:      System.debug(fld);
Execute Anonymous: }
13:58:10.058 (58424283)|EXECUTION_STARTED
13:58:10.058 (58433467)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
13:58:10.067 (67786267)|USER_DEBUG|[6]|DEBUG|Supports_Matching__c
13:58:10.067 (67846830)|USER_DEBUG|[6]|DEBUG|Latest_Gift_Amount__c
13:58:10.067 (67898519)|USER_DEBUG|[6]|DEBUG|Jigsaw
13:58:10.067 (67947978)|USER_DEBUG|[6]|DEBUG|ShippingLatitude
13:58:10.068 (68004662)|USER_DEBUG|[6]|DEBUG|ParentId
13:58:10.068 (68055826)|USER_DEBUG|[6]|DEBUG|Salutation_Casual_Formula__c
13:58:10.068 (68105513)|USER_DEBUG|[6]|DEBUG|BillingAddress
13:58:10.068 (68152671)|USER_DEBUG|[6]|DEBUG|CreatedById
13:58:10.068 (68196901)|USER_DEBUG|[6]|DEBUG|BillingCity
13:58:10.068 (68243189)|USER_DEBUG|[6]|DEBUG|IsDeleted
13:58:10.068 (68287415)|USER_DEBUG|[6]|DEBUG|BillingLongitude
13:58:10.068 (68332768)|USER_DEBUG|[6]|DEBUG|RecordTypeId
13:58:10.068 (68381233)|USER_DEBUG|[6]|DEBUG|First_Gift_Date__c
13:58:10.068 (68429400)|USER_DEBUG|[6]|DEBUG|SystemModstamp
13:58:10.068 (68476311)|USER_DEBUG|[6]|DEBUG|Industry
13:58:10.068 (68523031)|USER_DEBUG|[6]|DEBUG|First_Household_Gift_Amount__c
13:58:10.068 (68570829)|USER_DEBUG|[6]|DEBUG|First_Combined_Credit_Amount__c
13:58:10.068 (68617960)|USER_DEBUG|[6]|DEBUG|AnnualRevenue
13:58:10.068 (68664656)|USER_DEBUG|[6]|DEBUG|CreatedDate
13:58:10.068 (68710562)|USER_DEBUG|[6]|DEBUG|OwnerId
13:58:10.068 (68763755)|USER_DEBUG|[6]|DEBUG|Latest_Household_Gift_Amount__c
13:58:10.068 (68813988)|USER_DEBUG|[6]|DEBUG|LastViewedDate
13:58:10.068 (68860937)|USER_DEBUG|[6]|DEBUG|Last_Year_Transaction_Amount__c
13:58:10.068 (68908008)|USER_DEBUG|[6]|DEBUG|Lifetime_Combined_Credit_Count__c
13:58:10.068 (68954907)|USER_DEBUG|[6]|DEBUG|Largest_Soft_Credit_Amount__c
13:58:10.069 (69002046)|USER_DEBUG|[6]|DEBUG|Ownership
13:58:10.069 (69050695)|USER_DEBUG|[6]|DEBUG|NumberOfEmployees
13:58:10.069 (69097619)|USER_DEBUG|[6]|DEBUG|YTD_Soft_Credit_Amount__c
13:58:10.069 (69142926)|USER_DEBUG|[6]|DEBUG|ShippingPostalCode
13:58:10.069 (69189502)|USER_DEBUG|[6]|DEBUG|Lifetime_Combined_Credit_Amount__c
13:58:10.069 (69236132)|USER_DEBUG|[6]|DEBUG|Foundation_Type__c
13:58:10.069 (69281781)|USER_DEBUG|[6]|DEBUG|LastModifiedById
13:58:10.069 (69328567)|USER_DEBUG|[6]|DEBUG|YTD_Transaction_Amount__c
13:58:10.069 (69376138)|USER_DEBUG|[6]|DEBUG|Largest_Gift_Amount__c
13:58:10.069 (69424020)|USER_DEBUG|[6]|DEBUG|Latest_Gift_Date__c
13:58:10.069 (69482254)|USER_DEBUG|[6]|DEBUG|Secondary_Contact__c
13:58:10.069 (69531735)|USER_DEBUG|[6]|DEBUG|DO_NOT_PACKAGE_Trigger_Test__c
13:58:10.069 (69579256)|USER_DEBUG|[6]|DEBUG|PhotoUrl
13:58:10.069 (69626565)|USER_DEBUG|[6]|DEBUG|Open_Major_Gift__c
13:58:10.069 (69673047)|USER_DEBUG|[6]|DEBUG|YTD_Combined_Credit_Count__c
13:58:10.069 (69719104)|USER_DEBUG|[6]|DEBUG|Lifetime_Soft_Credit_Count__c
13:58:10.069 (69768569)|USER_DEBUG|[6]|DEBUG|BillingState
13:58:10.069 (69811905)|USER_DEBUG|[6]|DEBUG|BillingLatitude
13:58:10.069 (69857757)|USER_DEBUG|[6]|DEBUG|Last_Year_Combined_Credit_Amount__c
13:58:10.069 (69904044)|USER_DEBUG|[6]|DEBUG|Largest_Combined_Credit_Date__c
13:58:10.069 (69950692)|USER_DEBUG|[6]|DEBUG|First_Soft_Credit_Date__c
13:58:10.069 (69998216)|USER_DEBUG|[6]|DEBUG|Lifetime_Donation_Amount__c
13:58:10.070 (70042156)|USER_DEBUG|[6]|DEBUG|ShippingStreet
13:58:10.070 (70088480)|USER_DEBUG|[6]|DEBUG|Site
13:58:10.070 (70131927)|USER_DEBUG|[6]|DEBUG|ShippingAddress
13:58:10.070 (70176660)|USER_DEBUG|[6]|DEBUG|Sic
13:58:10.070 (70223374)|USER_DEBUG|[6]|DEBUG|Last_Year_Transaction_Count__c
13:58:10.070 (70267214)|USER_DEBUG|[6]|DEBUG|ShippingCountry
13:58:10.070 (70313260)|USER_DEBUG|[6]|DEBUG|Last_Combined_Credit_Date__c
13:58:10.070 (70361359)|USER_DEBUG|[6]|DEBUG|YTD_Donation_Count__c
13:58:10.070 (70408155)|USER_DEBUG|[6]|DEBUG|YTD_Soft_Credit_Count__c
13:58:10.070 (70454305)|USER_DEBUG|[6]|DEBUG|Last_Summary_Calculation_Date__c
13:58:10.070 (70501260)|USER_DEBUG|[6]|DEBUG|First_Gift_Amount__c
13:58:10.070 (70547944)|USER_DEBUG|[6]|DEBUG|Salutation_Formal_Formula__c
13:58:10.070 (70603591)|USER_DEBUG|[6]|DEBUG|Head_of_Household__c
13:58:10.070 (70652682)|USER_DEBUG|[6]|DEBUG|Phone
13:58:10.070 (70700029)|USER_DEBUG|[6]|DEBUG|Largest_Combined_Credit_Amount__c
13:58:10.070 (70751310)|USER_DEBUG|[6]|DEBUG|Mailing_Address_Type__c
13:58:10.070 (70800435)|USER_DEBUG|[6]|DEBUG|Largest_Household_Gift_Date__c
13:58:10.070 (70847108)|USER_DEBUG|[6]|DEBUG|Type
13:58:10.070 (70893847)|USER_DEBUG|[6]|DEBUG|Funding_Cycle__c
13:58:10.070 (70941552)|USER_DEBUG|[6]|DEBUG|LastActivityDate
13:58:10.070 (70988186)|USER_DEBUG|[6]|DEBUG|External_ID__c
13:58:10.071 (71034294)|USER_DEBUG|[6]|DEBUG|Household_Soft_Credit__c
13:58:10.071 (71085314)|USER_DEBUG|[6]|DEBUG|Description
13:58:10.071 (71140114)|USER_DEBUG|[6]|DEBUG|Primary_Contact__c
13:58:10.071 (71190187)|USER_DEBUG|[6]|DEBUG|Lifetime_Donation_Count__c
13:58:10.071 (71237983)|USER_DEBUG|[6]|DEBUG|Salutation__c
13:58:10.071 (71284608)|USER_DEBUG|[6]|DEBUG|Fax
13:58:10.071 (71330998)|USER_DEBUG|[6]|DEBUG|TickerSymbol
